chart_date,chart_type,rank,title,artist,url
2001-04-21,rock,24,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0116.html
2001-04-21,rock,25,The Hollow,A Perfect Circle,https://tunecaster.com/charts/00/rock0116.html
2001-04-21,rock,26,Elevation,U2,https://tunecaster.com/charts/00/rock0116.html
2001-04-21,rock,27,Schism,Tool,https://tunecaster.com/charts/00/rock0116.html
2001-04-21,rock,28,Push The Hand,Toadies,https://tunecaster.com/charts/00/rock0116.html
2001-04-21,rock,29,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0116.html
2001-04-21,rock,30,Heads Explode,Monster Magnet,https://tunecaster.com/charts/00/rock0116.html
2001-04-28,rock,1,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,2,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,3,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,4,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,5,Waiting,Green Day,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,6,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,7,No One,Cold,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,8,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,9,How I Could Just Kill A Man,Rage Against The Machine,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,10,Hey Pretty,Poe,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,11,My Way,Limp Bizkit,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,12,Greed,Godsmack,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,13,Here's To The Night,Eve 6,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,14,Elevation,U2,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,15,Roll On,The Living End,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,16,Are You There?,Oleander,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,17,Duck And Run,3 Doors Down,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,18,Innocent,Fuel,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,19,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,20,Safe In New York City,AC/DC,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,21,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,22,Between Angels And Insects,Papa Roach,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,23,Schism,Tool,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,24,Drive,Incubus,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,25,Imitation Of Life,R.E.M.,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,26,My Happiness,Powderfinger,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,27,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,28,Push The Hand,Toadies,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,29,The Hollow,A Perfect Circle,https://tunecaster.com/charts/00/rock0117.html
2001-04-28,rock,30,Breakdown,Tantric,https://tunecaster.com/charts/00/rock0117.html
2001-05-05,rock,1,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,2,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,3,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,4,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,5,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,6,No One,Cold,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,7,Waiting,Green Day,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,8,Here's To The Night,Eve 6,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,9,Greed,Godsmack,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,10,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,11,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,12,Elevation,U2,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,13,Hey Pretty,Poe,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,14,How I Could Just Kill A Man,Rage Against The Machine,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,15,Roll On,The Living End,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,16,My Way,Limp Bizkit,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,17,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,18,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,19,Outside,Staind,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,20,Imitation Of Life,R.E.M.,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,21,Innocent,Fuel,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,22,Duck And Run,3 Doors Down,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,23,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,24,Schism,Tool,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,25,Drive,Incubus,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,26,Safe In New York City,AC/DC,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,27,Are You There?,Oleander,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,28,The Hollow,A Perfect Circle,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,29,Push The Hand,Toadies,https://tunecaster.com/charts/00/rock0118.html
2001-05-05,rock,30,Between Angels And Insects,Papa Roach,https://tunecaster.com/charts/00/rock0118.html
2001-05-12,rock,1,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,2,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,3,No One,Cold,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,4,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,5,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,6,Here's To The Night,Eve 6,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,7,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,8,Elevation,U2,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,9,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,10,Greed,Godsmack,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,11,Waiting,Green Day,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,12,Outside,Staind,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,13,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,14,Hey Pretty,Poe,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,15,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,16,Schism,Tool,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,17,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,18,Imitation Of Life,R.E.M.,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,19,Roll On,The Living End,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,20,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,21,My Way,Limp Bizkit,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,22,How I Could Just Kill A Man,Rage Against The Machine,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,23,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,24,Drive,Incubus,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,25,Duck And Run,3 Doors Down,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,26,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,27,Push The Hand,Toadies,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,28,Safe In New York City,AC/DC,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,29,Innocent,Fuel,https://tunecaster.com/charts/00/rock0119.html
2001-05-12,rock,30,The Hollow,A Perfect Circle,https://tunecaster.com/charts/00/rock0119.html
2001-05-19,rock,1,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,2,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,3,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,4,Elevation,U2,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,5,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,6,No One,Cold,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,7,Schism,Tool,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,8,Outside,Staind,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,9,Here's To The Night,Eve 6,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,10,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,11,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,12,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,13,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,14,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,15,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,16,Greed,Godsmack,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,17,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,18,Waiting,Green Day,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,19,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,20,Roll On,The Living End,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,21,Imitation Of Life,R.E.M.,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,22,Deep,Nine Inch Nails,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,23,Hey Pretty,Poe,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,24,Drive,Incubus,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,25,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,26,How I Could Just Kill A Man,Rage Against The Machine,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,27,Rise,The Cult,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,28,I Might Be Wrong,Radiohead,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,29,Duck And Run,3 Doors Down,https://tunecaster.com/charts/00/rock0120.html
2001-05-19,rock,30,My Way,Limp Bizkit,https://tunecaster.com/charts/00/rock0120.html
2001-05-26,rock,1,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,2,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,3,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,4,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,5,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,6,Schism,Tool,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,7,Elevation,U2,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,8,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,9,Outside,Staind,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,10,No One,Cold,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,11,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,12,Here's To The Night,Eve 6,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,13,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,14,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,15,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,16,Deep,Nine Inch Nails,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,17,Greed,Godsmack,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,18,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,19,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,20,Imitation Of Life,R.E.M.,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,21,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,22,Rise,The Cult,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,23,Roll On,The Living End,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,24,Waiting,Green Day,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,25,I Might Be Wrong,Radiohead,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,26,This Is Not,Static-X,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,27,Drive,Incubus,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,28,How I Could Just Kill A Man,Rage Against The Machine,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,29,Hey Pretty,Poe,https://tunecaster.com/charts/00/rock0121.html
2001-05-26,rock,30,Sometimes,Ours,https://tunecaster.com/charts/00/rock0121.html
2001-06-02,rock,1,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,2,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,3,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,4,Schism,Tool,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,5,Outside,Staind,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,6,Elevation,U2,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,7,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,8,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,9,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,10,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,11,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,12,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,13,Deep,Nine Inch Nails,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,14,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,15,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,16,No One,Cold,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,17,Rise,The Cult,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,18,Greed,Godsmack,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,19,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,20,This Is Not,Static-X,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,21,I Might Be Wrong,Radiohead,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,22,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,23,Sick Cycle Carousel,Lifehouse,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,24,Here's To The Night,Eve 6,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,25,Roll On,The Living End,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,26,Imitation Of Life,R.E.M.,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,27,You Wouldn't Believe,311,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,28,Sometimes,Ours,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,29,Get To The Gone,Static-X,https://tunecaster.com/charts/00/rock0122.html
2001-06-02,rock,30,Drive,Incubus,https://tunecaster.com/charts/00/rock0122.html
2001-06-09,rock,1,Schism,Tool,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,2,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,3,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,4,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,5,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,6,Outside,Staind,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,7,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,8,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,9,Elevation,U2,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,10,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,11,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,12,Deep,Nine Inch Nails,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,13,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,14,Rise,The Cult,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,15,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,16,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,17,Days Of The Week,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,18,Sick Cycle Carousel,Lifehouse,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,19,This Is Not,Static-X,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,20,You Wouldn't Believe,311,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,21,No One,Cold,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,22,Down With The Sickness,Disturbed,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,23,I Might Be Wrong,Radiohead,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,24,Greed,Godsmack,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,25,Weapon Of Choice,Fatboy Slim,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,26,Sometimes,Ours,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,27,Bad Day,Fuel,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,28,So Far Away,Stabbing Westward,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,29,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0123.html
2001-06-09,rock,30,Roll On,The Living End,https://tunecaster.com/charts/00/rock0123.html
2001-06-16,rock,1,Schism,Tool,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,2,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,3,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,4,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,5,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,6,Outside,Staind,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,7,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,8,Days Of The Week,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,9,Rise,The Cult,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,10,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,11,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,12,Elevation,U2,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,13,You Wouldn't Believe,311,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,14,Sick Cycle Carousel,Lifehouse,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,15,Deep,Nine Inch Nails,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,16,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,17,Down With The Sickness,Disturbed,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,18,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,19,This Is Not,Static-X,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,20,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,21,I Might Be Wrong,Radiohead,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,22,Bad Day,Fuel,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,23,No One,Cold,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,24,Smooth Criminal,Alien Ant Farm,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,25,Dream On,Depeche Mode,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,26,Be Like That,3 Doors Down,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,27,Weapon Of Choice,Fatboy Slim,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,28,Flavor Of The Weak,American Hi-Fi,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,29,Sometimes,Ours,https://tunecaster.com/charts/00/rock0124.html
2001-06-16,rock,30,Greed,Godsmack,https://tunecaster.com/charts/00/rock0124.html
2001-06-23,rock,1,Schism,Tool,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,2,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,3,Days Of The Week,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,4,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,5,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,6,Rise,The Cult,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,7,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,8,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,9,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,10,You Wouldn't Believe,311,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,11,Outside,Staind,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,12,Down With The Sickness,Disturbed,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,13,Sick Cycle Carousel,Lifehouse,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,14,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,15,Smooth Criminal,Alien Ant Farm,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,16,Bad Day,Fuel,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,17,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,18,Deep,Nine Inch Nails,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,19,Elevation,U2,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,20,Be Like That,3 Doors Down,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,21,This Is Not,Static-X,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,22,Revolution Man,The Union Underground,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,23,Weapon Of Choice,Fatboy Slim,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,24,No One,Cold,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,25,I Might Be Wrong,Radiohead,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,26,Rexall,Dave Navarro,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,27,Bodies,Drowning Pool,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,28,Pain,Stereomud,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,29,Sometimes,Ours,https://tunecaster.com/charts/00/rock0125.html
2001-06-23,rock,30,The Space Between,Dave Matthews Band,https://tunecaster.com/charts/00/rock0125.html
2001-06-30,rock,1,Fat Lip,Sum 41,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,2,Schism,Tool,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,3,Days Of The Week,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,4,Hash Pipe,Weezer,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,5,You Wouldn't Believe,311,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,6,The Rock Show,Blink 182,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,7,It's Been Awhile,Staind,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,8,Rise,The Cult,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,9,Smooth Criminal,Alien Ant Farm,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,10,Down With The Sickness,Disturbed,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,11,Crawling,Linkin Park,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,12,Bad Day,Fuel,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,13,Outside,Staind,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,14,Drops Of Jupiter (Tell Me),Train,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,15,Bodies,Drowning Pool,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,16,Be Like That,3 Doors Down,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,17,Sick Cycle Carousel,Lifehouse,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,18,Rexall,Dave Navarro,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,19,Wait,Seven Mary Three,https://tunecaster.com/charts/00/rock0126.html
2001-06-30,rock,20,Your Disease,Saliva,https://tunecaster.com/charts/00/rock0126.html
