chart_date,chart_type,rank,title,artist,url
2000-01-15,rock,6,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,7,Into The Void,Nine Inch Nails,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,8,What If,Creed,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,9,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,10,Take A Picture,Filter,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,11,Little Black Backpack,Stroke 9,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,12,Heaven And Hot Rods,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,13,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,14,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,15,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,16,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,17,Brand New Day,Sting,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,18,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,19,Miserable,Lit,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,20,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,21,Natural Blues,Moby,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,22,Alive,Beastie Boys,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,23,The Great Beyond,R.E.M.,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,24,It Feels So Good,Sonique,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,25,She's Got Issues,The Offspring,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,26,Re-arranged,Limp Bizkit,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,27,Wait And Bleed,Slipknot,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,28,Mistaken,Save Ferris,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,29,Hanginaround,Counting Crows,https://tunecaster.com/charts/00/rock0003.html
2000-01-15,rock,30,Guerrilla Radio,Rage Against The Machine,https://tunecaster.com/charts/00/rock0003.html
2000-01-22,rock,1,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,2,Everlasting Gaze,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,3,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,4,Nobody's Real,Powerman 5000,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,5,What If,Creed,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,6,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,7,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0004.html
